,idandtype,productname,interest_type,company,lowest_rate,highest_rate,last_month_interest,maximum_period,preference,redemption_fee,related_fee,review_counts,average_rate
77,148MORT,내집마련 디딤돌 대출,고정,kebhana,2.2,2.9,0.0,30,"- 다자녀가구·생애최초 주택구입자 0.5%p
- 다문화가구·장애인가구 각각 0.2%p 금리우대 가능
- 본인 또는 배우자 명의의 청약저축 가입중인 경우 0.1~0.2%p 금리우대 [가입기간이 1년 이상(3년 이상) 이고 12회차(36회차) 이상 납입한 경우 0.1%p(0.2%p), 민영주택 청약지역별 최소 예치금액 납입 후 1년(3년) 이상 0.1%p(0.2%p)]
※ 우대금리 적용 결과 최종 대출금리가 1.8%이하인 경우에는 1.8% 적용
 (단, 생애최초 주택 구입자는 2016.11.30 까지 한시적으로 최종 대출금리를 적용)

","- 중도상환수수료는 중도상환대출금액×중도상환수수료율(1.2%)×(중도상환약정잔여일수÷중도상환약정기간)으로 하며, 최초대출일로부터 3년까지 적용
- 아래의 경우에는 중도상환수수료 면제
1.담보주택의 공용수용, 채무자의 사망, 천재지변으로 인한 중도상환의 경우
2.연체, 경매 등으로 기한의이익을 상실시킨 경우","인지세 : 고객/은행 각 50% 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)
감정비용 : 고객이 직접 감정원에 의뢰한 경우는 고객 부담
(가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 국토교통부 부담)",24,3.5
78,147MORT,내집마련 디딤돌 대출,고정,shinhan,2.4,3.1,0.0,30,"- 다자녀가구·생애최초 주택구입자 0.5%p
- 다문화가구·장애인가구·신혼가구 각각 0.2%p 금리우대 가능
- 본인 또는 배우자 명의의 청약저축 가입중인 경우 0.1~0.2%p 금리우대 [가입기간이 1년 이상(3년 이상) 이고 12회차(36회차) 이상 납입한 경우 0.1%p(0.2%p), 민영주택 청약지역별 최소 예치금액 납입 후 1년(3년) 이상 0.1%p(0.2%p)]
- 생애최초주택구입자 금리우대는 2016.05.30 부터 2016.11.30까지 신규신청에 한해 한시적 우대
- 우대금리 적용 후 최종금리가 2%미만인 경우에는 2% 적용(단, 생애최초주택구입자 금리우대 후 최종금리가 2% 미만인 경우 적용 배제)","중도상환시 대출잔존기간에 따라 차등(대출 취급후 3년 이내 1.2%)
3년이후 상환시 면제
","인지세 : 고객/은행 각 50% 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)
감정비용 : 고객이 직접 감정원에 의뢰한 경우는 고객 부담
(가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 국토교통부 부담)",27,3.2
79,99MORT,내집마련 디딤돌 대출,고정,woori,2.3,3.0,0.0,30,"- 다자녀가구 0.5%p
- 다문화가구·장애인가구·생애최초 주택구입자 각각 0.2%p 금리우대 가능(※생애최초 주택구입자는 2016년 11월 30일까지 접수건에 대해 우대금리 0.5% 적용)
- 본인 또는 배우자 명의의 청약저축 가입중인 경우 0.1~0.2%p 금리우대 [가입기간이 1년 이상(3년 이상) 이고 12회차(36회차) 이상 납입한 경우 0.1%p(0.2%p), 민영주택 청약지역별 최소 예치금액 납입 후 1년(3년) 이상 0.1%p(0.2%p)]
- 우대금리 적용 후 최종금리가 연 2% 미만인 경우에는 연 2%로 적용(생애최초 주택구입자는 금리하한선 1.6%로 제한)
","조기(중도)상환수수료 최대 3년, 최대요율 1.2% 잔여일수에 따라 슬라이딩 방식(조기상환 수수료가
날짜에 따라 감소하는 방식, 일할계산, n/365)
상환원금 × 중도상환수수료율(1.2%) × [(3년 - 대출경과일수)/3년]","인지세 : 고객/은행 각 50% 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)
감정비용 : 고객이 직접 감정원에 의뢰한 경우는 고객 부담
(가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 국토교통부 부담)",39,3.4
80,18MORT,내집마련 유동화적격대출,고정,shinhan,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간) 
* 중도상환수수료율 3년 1.5% 부과
* 단, 대출잔여일수 및 대출기간은 3년을 초과하더라도 3년으로 정함",,27,3.2
81,761MORT,대신홈론,변동,daishin_sb,5.78,7.34,6.02,30,영업점 문의 필요,"- 3년이내 2.0
*산식=기한전상환대출금액x기한전상환수수료율x(대출잔여일수/대출약정기간)","- 인지세 : 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별로 차등 부과
 - 국민주택채권 매입비용
 - 화재보험료",0,
82,718MORT,"더드림아파트
선순위(개인)",변동,hyundai_sb,4.85,8.0,6.19,30,영업점 문의 필요,"- 중도상환금액×2%×대출잔여일수/대출약정기간
 - 대출취급일로부터 36개월미만 :  2%
 - 대출취급일로부터 36개월이상 : 면제","- 인지세: 대출금액 구간별 인지세(5천만원이하 시 면제), 5천만원 초과 시 채무자와 채권자 50%씩 부담
 - 주택채권매입비용 등 근저당설정금액",0,
83,888MORT,딴딴한MI론,변동,heungkuk_life,3.42,4.12,3.28,30,,중도상환금액 X 2% X 대출잔여일수/1095,"국민주택채권매입비, 인지세(50%)",0,
84,886MORT,딴딴한모기지,변동,heungkuk_life,2.92,3.62,3.26,30,,중도상환금액 X 1.5% X 대출잔여일수/1095,"국민주택채권매입비, 인지세(50%)",0,
85,887MORT,딴딴한모기지M,변동,heungkuk_life,2.97,3.72,3.29,30,,중도상환금액 X 1.5% X 대출잔여일수/1095,"국민주택채권매입비, 인지세(50%)",0,
87,884MORT,딴딴한주택론,변동,heungkuk_life,2.92,3.62,3.19,30,,중도상환금액 X 2% X 대출잔여일수/1095,"국민주택채권매입비, 인지세(50%)",0,
88,885MORT,딴딴한주택론M,변동,heungkuk_life,2.97,3.72,3.24,30,,중도상환금액 X 2% X 대출잔여일수/1095,"국민주택채권매입비, 인지세(50%)",0,
91,964MORT,마이홈주택자금대출,고정,debec_sb,5.0,9.0,8.5,30,,중도상환금액x2%x(대출잔여일수÷대출기간 총일수),"- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)  
 - 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율
 - 화재보험료",0,
92,21MORT,모기지원,혼합,sc,0.0,0.0,0.0,30,,"중도상환 수수료: 면제 (매년 대출잔액의 10%이내 상환 시)
3년 이내 상환 시 기간별로 상환금액의 1.5% (중도상환수수료는 경과 일수에 따라 차등 적용)
매년의 기간산정은 대출실행일을 기준으로 계산",,13,3.8
103,942MORT,"부동산
담보대출
(주택)",고정,ibk_sb,4.95,19.0,4.95,30,,"- 중도상환금액×2%×   
   (대출잔여일수÷
   대출기간 총일수)","- 인지세 : 해당세액 × 50%
  (대출금액 5천만원 이하시 없음)",0,
104,717MORT,부동산(중도금)대출,고정,shinan_sb,4.5,9.0,4.5,30,영업점 문의 필요,- 0~2%,- 인지세(차주 발생비용의 절반 부담),0,
105,802MORT,부동산담보(KB손보희망모기지론),고정,kb_ins,2.84,4.44,2.98,30,영업점 문의 필요,"- 중도상환원금 × 1.5% × 잔여중도수수료약정기간 ÷ 3년
(50% 감면옵션 선택가능)","- 인지세 : 해당세액의 50%
- 국민주택채권매입 : 대출금액 × 120% × 1% × 채권할인율",0,
106,807MORT,부동산담보(KB손보희망모기지론Ⅱ),고정,kb_ins,4.14,4.34,0.0,30,영업점 문의 필요,- 중도상환원금 × 1.5% × 잔여중도수수료약정기간 ÷ 6개월,"- 인지세 : 해당세액의 50%
- 국민주택채권매입 : 대출금액 × 120% × 1% × 채권할인율",0,
107,806MORT,부동산담보(KB손보희망모기지론MI),고정,kb_ins,3.14,5.04,3.3,30,영업점 문의 필요,"- 중도상환원금 × 1.5% × 잔여중도수수료약정기간 ÷ 3년
(50% 감면옵션 선택가능)","- 인지세 : 해당세액의 50%
- 국민주택채권매입 : 대출금액 × 120% × 1% × 채권할인율",0,
108,804MORT,부동산담보(KB손보희망주택론),고정,kb_ins,0.0,0.0,3.16,30,영업점 문의 필요,"- 중도상환원금 × 1.5% × 잔여중도수수료약정기간 ÷ 3년
(50% 감면옵션 선택가능)","- 인지세 : 해당세액의 50%
- 국민주택채권매입 : 대출금액 × 120% × 1% × 채권할인율",0,
109,762MORT,"부동산담보대출
(연립주택)",변동,ibk_sb,5.7,10.0,7.2,30,영업점 문의 필요,"- 연2% 이내
*  중도상환금액×2%×(대출잔여일수÷대출기간 총일수)",- 인지세 : 해당세액 × 50%,0,
110,735MORT,부동산담보대출,고정,gangwon_sb,4.2,10.0,7.1,30,영업점 문의 필요,- 연 2%,"- 인지세1/2, 채권료, 말소, 변경, 확인서면",0,
111,928MORT,부동산담보대출,고정,jtchinae_sb,4.5,7.3,6.1,30,,- 중도상환금액x수수료율(2%)x대출잔여일수/대출기간,"- 인지세 : 해당세액 × 50% (대출금액 5천만원 이하시 없음)  
 - 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율
 - 화재보험료",0,
112,934MORT,부동산담보대출,고정,seram_sb,5.0,11.0,9.33,30,,- 연 2%,"- 인지세1/2, 채권료, 말소, 변경, 확인서면",0,
113,922MORT,부동산담보대출,변동,yegaram_sb,5.4,8.8,7.0,30,,- 연 2%,"- 인지세1/2, 채권료, 말소, 변경, 확인서면",0,
114,933MORT,부동산담보대출,변동,yj_sb,7.5,9.0,7.5,30,,- 연 2%,"- 인지세1/2, 채권료, 말소, 변경, 확인서면",0,
115,949MORT,부동산담보대출(다가구),고정,pt_sb,6.0,11.0,8.7,30,,- 2%(기한전대출상환금액*기한전상환수수료율*대출잔여일수/대출약정기간,"- 인지대1/2, 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율 
- 확인서면비용,주소변경등기비용,설정말소비용,화재보험료",0,
116,910MORT,부동산담보대출(다세대),고정,pt_sb,6.0,12.0,8.2,30,,2%(기한전대출상환금액*기한전상환수수료율*대출잔여일수/대출약정기간,"인지대1/2, 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율,확인서면비용,주소변경등기비용,설정말소비용",0,
117,906MORT,부동산담보대출(변동금리),변동,goryo_sb,5.2,10.0,7.4,30,,"- 중도상환금액×2%×
(대출잔여일수÷대출기간 총일수)","- 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별 수입인지 비용 차등 부과
- 채권할인료, 말소비용",0,
118,909MORT,부동산담보대출(주택),고정,pt_sb,6.0,12.0,9.0,30,,2%(기한전대출상환금액*기한전상환수수료율*대출잔여일수/대출약정기간,"인지대1/2, 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율,확인서면비용,주소변경등기비용,설정말소비용",0,
119,943MORT,부동산담보대출(주택담보대출),고정,kb_sb,6.4,16.0,10.0,30,,- 기한전 상환대출금 X 기한전 상환수수료율(2%) X 대출잔여일수 / 대출약정기간,"- 인지세: 고객과 저축은행이 각 50%씩 부담하며, 인지세법상 인지세 부과기준을 따름
 - 근저당권 관련 비용: 국민주택채권매입비, 등록세, 지방교육세 등",0,
120,864MORT,산은 주택대출,변동,kdb,2.71,5.41,0.0,30,,"- 중도상환금액 × 중도상환수수료율* × (대출잔여일수 ÷ 대출기간** )
* 담보대출 : 1.2% 신용대출 : 0.8%
**대출기간이 3년을 초과하는 경우 3년","- 인지세 : 해당세액의 50%
- 국민주택채권 매입비용
- 주택신보출연료(구입자금)",0,
121,791MORT,삼성아파트,고정,samsung_fire,2.49,4.4,2.99,30,영업점 문의 필요,"1.4% 또는 1.5%
중도상환금액×수수료율×잔여부과일/총부과일","인지세(50%)
주택채권매입비",0,
122,792MORT,삼성아파트마이너스,변동,samsung_fire,3.49,3.58,3.52,30,영업점 문의 필요,미적용,"인지세(50%)
주택채권매입비
한도유지수수료",0,
124,794MORT,삼성주택,고정,samsung_fire,2.89,4.2,3.33,30,영업점 문의 필요,"1.4% 또는 1.5%
중도상환금액×수수료율×잔여부과일/총부과일","인지세(50%)
주택채권매입비",0,
125,840MORT,센트럴스위트홈론_기타주택,고정,gwangju,3.04,4.75,3.28,30,,"(계산식)
중도상환금액 × 1.5% × (대출잔여일수 ÷ 대출기간)
※ 대출기간 : 대출약정일로 최장 3년","1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등",1,5.0
126,836MORT,센트럴스위트홈론_아파트,변동,gwangju,2.84,4.56,0.0,30,,"(계산식)
중도상환금액 × 1.5% × (대출잔여일수 ÷ 대출기간)
※ 대출기간 : 대출약정일로 최장 3년","1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등",1,5.0
127,688MORT,수협모기지론,고정,suhyup,3.46,6.09,0.0,30,영업점 문의 필요,"중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)

* 1.5%
** 대출기간이 3년을 초과하는 경우 3년","1. 인지세 : 해당세액의 50%

2. 국민주택채권 매입비용 : 대출금액 X  120% X 1% X 채권할인율

3. 화재보험료 (아파트외 물건지에 한함)",3,2.0
128,924MORT,순수일반담보(APT),고정,nh_sb,5.5,9.5,6.87,30,,- 2%,"- 인지세 : 해당세액 × 50%
  (대출금액 5천만원 이하시 없음)",0,
129,212MORT,순수장기고정금리 주택담보대출,고정,sc,0.0,0.0,0.0,30,영업점 문의 필요,3년이내 상환 시 기간별로 상환금액의 1.5% (중도상환수수료는 경과일수에 따라 차등 적용),,13,3.8
130,8MORT,스마트징검다리론,고정,woori,0.0,0.0,0.0,30,영업점 문의 필요,중도상환수수료는 분양지별로 시행주체 및 우리은행과의 협약 내용에 따라 달라질 수 있습니다.," 수입인지 대금의 50%, 한국주택금융공사보증료 및 대한주택보증보증료",39,3.4
132,960MORT,스위트홈론_고정금리형,고정,gwangju,3.44,5.35,0.0,30,,"(계산식)
중도상환금액 × 1.5% × (대출잔여일수 ÷ 대출기간)
※ 대출기간 : 대출약정일로 최장 3년","1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등",1,5.0
133,646MORT,스위트홈론_기본형,변동,gwangju,3.57,6.22,3.52,30,상환방식 및 광주은행 거래실적에 따라 적용,"(계산식)
중도상환금액 × 1.5% × (대출잔여일수 ÷ 대출기간)
※ 대출기간 : 대출약정일로 최장 3년","1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등",1,5.0
136,997MORT,신한 BIGDream 주택담보대출,변동,shinhan_life,3.01,3.41,3.08,30,,"중도상환대출금 x 수수료율 x (대출잔여일수/대출기간)
최초1년간 대출금액의 50%이내 면제",인지세(50%씩 당사와 고객이 부담),0,
138,22MORT,신한 금리상한모기지론,고정,shinhan,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환금액 X 1.5% X (대출잔여일수 ÷ 대출기간) 
* 단, 대출잔여일수 및 대출기간은 3년을 초과하더라도 3년으로 정함",,27,3.2
139,17MORT,신한 안심전환 적격대출,고정,shinhan,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환원금 X 1.2% X [(3년 - 대출경과일수) ÷ 3년]
* 기존 보유대출의 중도상환수수료는 면제

",,27,3.2
141,37MORT,신한 적격전환대출,고정,shinhan,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 1.5% × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 단, 대출잔여일수 및 대출기간은 3년을 초과하더라도 3년으로 정함",,27,3.2
148,24MORT,씨티 뉴 장기고정금리 주택담보대출,고정,citi,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환원금 ⅹ 1.5% ⅹ (잔존일수 ÷ 대출기간)
* 잔존일수는 대출개시일로부터 약정기일까지의 일수에서 상환일까지의 경과일수를 차감하여 계산합니다. 
* 대출기간은 대출개시일로부터 약정기일까지의 일수로 계산합니다. 
* 대출개시일로부터 약정기일까지의 일수가 3년을 초과하는 경우에는 3년째되는 일을 약정기일로 합니다. ","인지세법에 의해 대출약정 체결시 납부하는 세금으로 대출금액에 따라 세액이 차등 적용되며, 
은행과 고객이 각 50% 씩 부담합니다. (4천만원 이하: 없음, 4천 초과 5천 이하: 4만원, 5천 초과 1억 이하: 7만원, 1억 초과 10억 이하: 15만원, 10억원 초과: 35만원)",4,3.0
150,25MORT,씨티 주거용 오피스텔 담보대출,변동,citi,0.0,0.0,0.0,30,"- 최대 연 1.30% 우대 
- 증빙소득자료 제출 : 연 0.10% 
- 신청금액별 우대 : 최대 연 0.30% 
- 담보주택 1년이상 장기보유 : 연 0.20% 
- LTV 60% 이하시 : 연 0.10% 
- 고객등급별 금리인하 : 최대 연 0.30% 
- 당행 아파트담보대출 보유고객 : 연0.2% 
- 거치기간 없는 경우 : 연 0.10%","중도상환원금 ⅹ 1.5% ⅹ (잔존일수 ÷ 대출기간)
* 잔존일수는 대출개시일로부터 약정기일까지의 일수에서 상환일까지의 경과일수를 차감하여 계산합니다. 
* 대출기간은 대출개시일로부터 약정기일까지의 일수로 계산합니다. 
* 대출개시일로부터 약정기일까지의 일수가 3년을 초과하는 경우에는 3년째되는 일을 약정기일로 합니다. ","화재보험료(소정금액) : 고객부담 (단, 아파트담보의 경우는 면제) 
인지세법에 의해 대출약정 체결시 납부하는 세금으로 대출금액에 따라 세액이 차등 적용되며, 
은행과 고객이 각 50% 씩 부담합니다. (4천만원 이하: 없음, 4천 초과 5천 이하: 4만원, 5천 초과 1억 이하: 7만원, 1억 초과 10억 이하: 15만원, 10억원 초과: 35만원)",4,3.0
151,23MORT,씨티 주택담보대출,변동,citi,0.0,0.0,0.0,30,"- 증빙소득자료 제출 : 연 0.10% 
- 신청금액별 우대 : 최대 연 0.30% 
- 담보주택 1년이상 장기보유 : 연 0.20% 
- LTV 60% 이하시 : 연 0.10% 
- 고객등급별 금리인하 : 최대 연 0.30% 
- 당행 아파트담보대출 보유고객 : 연0.20% 
- 거치기간 없는 경우 : 연 0.10% 
- 인터넷 신청: 연 0.05%","중도상환원금 ⅹ 1.5% ⅹ (잔존일수 ÷ 대출기간)
* 잔존일수는 대출개시일로부터 약정기일까지의 일수에서 상환일까지의 경과일수를 차감하여 계산합니다. 
* 대출기간은 대출개시일로부터 약정기일까지의 일수로 계산합니다. 
* 대출개시일로부터 약정기일까지의 일수가 3년을 초과하는 경우에는 3년째되는 일을 약정기일로 합니다. ","인지세법에 의해 대출약정 체결시 납부하는 세금으로 대출금액에 따라 세액이 차등 적용되며, 
은행과 고객이 각 50% 씩 부담합니다. (4천만원 이하: 없음, 4천 초과 5천 이하: 4만원, 5천 초과 1억 이하: 7만원, 1억 초과 10억 이하: 15만원, 10억원 초과: 35만원)
화재보험료(소정금액) : 고객부담 (단, 아파트담보의 경우는 면제)",4,3.0
153,830MORT,씨티주택담보대출,변동,citi,2.26,3.9,2.64,30,,"중도상환금액×1.5%×(대출잔여일수÷대출기간*)
* 대출기간이 3년을 초과하는 경우 3년","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 대출금액 × 120% × 1% × 채권할인율
3. 화재보험료(아파트 외 물건지에 한함)",4,3.0
154,220MORT,아낌e-보금자리론,고정,kebhana,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]",조기상환원금 ×조기상환수수료율(1.2%) ×[(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",24,3.5
155,925MORT,"아파트
담보대출",고정,ibk_sb,3.5,19.0,4.09,30,,"- 중도상환금액×2%×   
   (대출잔여일수÷
   대출기간 총일수)","- 인지세 : 해당세액 × 50%
  (대출금액 5천만원 이하시 없음)",0,
156,1005MORT,아파트(가계자금 MCI_원리금분할)대출,변동,ki_sb,4.9,8.8,6.5,30,,"- 기한전상환대출금액 × 기한전상환수수료율 × (대출잔여일수/대출약정기간)
 - 최대 2.0%","- 인지세의 50% 
  * 고객부담 인지세 : 5천만원초과~1억원 이하 (3만5천원), 1억원 초과 ~10억 이하 (7만 5천원)",0,
157,995MORT,아파트(가계자금-원리금분할)대출,변동,ki_sb,4.9,8.8,6.3,30,,"- 기한전상환대출금액 × 기한전상환수수료율 × (대출잔여일수/대출약정기간)
 - 최대 2.0%","- 인지세의 50% 
 * 고객부담 인지세 : 5천만원초과시 부담",0,
158,919MORT,아파트담보대출,고정,dream_sb,4.5,17.0,7.5,30,,- 중도상환금액×2%×(대출잔여일수÷대출기간 총일수),- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),0,
159,782MORT,아파트담보대출,고정,kdb_life,3.04,4.34,0.0,30,영업점 문의 필요,"1년이내 상환시 2.0%, 2년이내 상환시 1.5%, 3년이내 상환시 1.0%
* 중도상환금액 X 중도상환 수수료율 X (부과기간 잔여일수/부과기간)","인지세 : 해당세액의 50%
국민주택채권매입비용 : 대출금액 X 120% X 1% X 채권할인율",0,
160,947MORT,아파트담보대출(변동금리),변동,goryo_sb,4.6,9.4,6.4,30,,"- 중도상환금액×2%×
(대출잔여일수÷대출기간 총일수)","- 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별 수입인지 비용 차등 부과
- 채권할인료, 말소비용",0,
162,776MORT,알리안츠주택담보대출,변동,allianz_life,2.77,4.07,2.77,30,영업점 문의 필요,"1. 중도상환수수료율: 3년이내 1%
(최초대출금의 30% 이내 상환금액에 대한 중도상환수수료 면제)
2. 산정방식: (중도상환금액×수수료율×부과기간 잔여일수)/부과기간 일수","* 인지세: 대출금액에 따라 부과되는 인지세의 1/2
* 주택채권매입비용: 대출 당일 시세에 따른 할인금액",0,
163,168MORT,오피스텔구입자금,고정,kb,0.0,0.0,0.0,30,"- 다문화가구
- 장애인가구 0.2%
- 다자녀가구 0.5%
(단, 중복적용불가)
","영업점 문의 필요
","인지세 : 고객/은행 각 50%씩 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)",47,3.4
164,170MORT,오피스텔구입자금,고정,kebhana,0.0,0.0,0.0,30,"- 다문화가구
- 장애인가구 0.2%
- 다자녀가구 0.5%
(단, 중복적용불가)
","영업점 문의 필요
","인지세 : 고객/은행 각 50%씩 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)",24,3.5
165,169MORT,오피스텔구입자금,고정,shinhan,0.0,0.0,0.0,30,"- 다문화가구
- 장애인가구 0.2%
- 다자녀가구 0.5%
(단, 중복적용불가)","영업점 문의 필요
","인지세 : 고객/은행 각 50%씩 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)",27,3.2
166,160MORT,오피스텔구입자금,고정,woori,0.0,0.0,0.0,30,"- 다문화가구
- 장애인가구 0.2%
- 다자녀가구 0.5%
(단, 중복적용불가)
","영업점 문의 필요
","인지세 : 고객/은행 각 50%씩 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)",39,3.4
168,42MORT,우리그린리모델링론,고정,woori,0.0,0.0,0.0,30,"최고 0.6% (코픽스 최고 0.6%, 고정금리 최고 0.3%)","영업점 문의 필요
","인지대(은행부담 50%,고객부담 50%)
근저당권 설정시 국민주택채권매입비용",39,3.4
169,27MORT,우리더드림주택대출,변동,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 중도상환수수료율 × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 대출취급 후 3년 이내 상환 시 : 1.5%
* 대출취급 후 3년 초과 상환 시 : 면제
* 단, 매년 최초 대출금액의 10% 범위내에서 상환하는 경우에는 면제입니다. (대출취급일 기준)",,39,3.4
170,902MORT,우리부동산론,변동,woori,3.61,4.01,3.78,30,,- 주택상환금액×1.4%×(대출잔액일수÷3년),"- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
- 주택신보출연료(신규 주택구입시에 한함) : 0.01~0.21%",39,3.4
171,36MORT,우리부동산론(경매자금),고정,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 중도상환수수료율 × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 대출취급 후 3년 이내 상환 시 : 1.5%
* 대출취급 후 3년 초과 상환 시 : 면제
* 매년 최초 대출금액의 10% 범위내에서 상환하는 경우에는 면제입니다. (대출취급일 기준)",,39,3.4
172,28MORT,우리부동산론(중도금),고정,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 중도상환수수료율 × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 대출취급 후 3년 이내 상환 시 : 1.5%
* 대출취급 후 3년 초과 상환 시 : 면제
* 매년 최초 대출금액의 10% 범위내에서 상환하는 경우에는 면제입니다. (대출취급일 기준)","주택금융공사 보증료, 인지세 등",39,3.4
173,35MORT,우리부동산론(토지분양자금),고정,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 중도상환수수료율 × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 대출취급 후 3년 이내 상환 시 : 1.5%
* 대출취급 후 3년 초과 상환 시 : 면제
* 매년 최초 대출금액의 10% 범위내에서 상환하는 경우에는 면제입니다. (대출취급일 기준)",,39,3.4
174,84MORT,우리아파트론,고정,woori,2.82,4.4,3.01,30,"▶주택담보대출 : 1.3%
[①~⑩ = 1.1%]
[⑪ = 0.2%]
①대출 기간 중 급여이체 고객 또는 연금수급권자로서 당행 통장으로 연금수령 고객 (0.30%)
②제세공과금 또는 관리비 매월 자동이체 고객 (0.10%)
③대출 기간중 3개월 간 신용카드 정상 결제실적(현금서비스 제외) 50만원 이상 (0.20%)
④자동이체 등록된 「월 10만원 이상의 적립식 예금(간접투자상품 제외)」 또는 매월 납입하는 「주택청약종합저축(청약저축 포함)」 가입 및 유지고객 (0.30%)
⑤CSS(SCS) 5등급 이상 (0.10%)
⑥스마트뱅킹 보유 또는 우리삼성페이 가입 고객 (0.10%)
⑦다자녀(3명이상), 다문화 우대 (0.10%)
⑧체크카드 보유 고객 (0.10%)
⑨가맹점결제계좌 가입 고객 (0.10%)
⑩주택담보대출 금리 우대(10년 초과 원리금(원금)분할상환대출만 해당) (0.1%~0.4%)
  ⓐ근저당권 설정 전용/원용 건 : 0.10%
  ⓑMCI 미가입 고객(아파트 담보대출만 적용) : 0.10%
  ⓒLTV 60% 이하 아파트 : 0.10%
  ⓓ인터넷 등기 가입고객 (권원보험 가입건은 제외) : 0.10%
⑪전액 비거치식 주택담보대출 가입 고객 (0.20%)",- 주택상환금액×1.4%×(대출잔액일수÷3년),"- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
- 주택신보출연료(신규 주택구입시에 한함) : 0.01~0.21%",39,3.4
175,34MORT,우리아파트론(경매자금),혼합,woori,0.0,0.0,0.0,30,,"중도상환시 만기까지 남아있는 기간에 따라 다르게 부과
대출취급 후 3년 이내 상환 시 : 1.5%
대출취급 후 3년 초과 상환 시 : 면제
매년 최초 대출금액의 20% 범위내에서 상환하는 경우에는 면제입니다. (대출취급일 기준)","인지세, 채권할인비용 등",39,3.4
