,idandtype,productname,company,interest_type,deposit_type,highest_rate,deposit_limit,period,monthly_interest,preference,review_counts,average_rate
105,231DEPOSIT,신한 미션플러스 적금,shinhan,단리,자유적립,1.85,제한없음 ~ 100만원,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 0.9%우대 시 1.85%12개월기본 1.35%우대 시 2.3%24개월기본 1.6%우대 시 2.55%
","※가산금리 최고 0.7%
-인터넷뱅킹,스마트폰으로 적금가입시 0.1%
-홈페이지 또는 어플리케이션을 통해 미션플러스 접속후 활동한 결과에 따라 최고 0.6%",0,
106,232DEPOSIT,신한 장학적금,shinhan,단리,자유적립,2.6,제한없음 ~ 30만원,36개월 고정,"
개월별 기본금리
36개월기본 1.75%우대 시 2.6%
","※가산금리 최고0.6%, 
-이체에 의한 저축시 0.2%
-체크카드OR 주택청액종합저축 보유 0.2%
-학교단체 신규시 0.2%",0,
107,233DEPOSIT,신한 MyShop 가맹점 적금 (정기적립식),shinhan,단리,정기적립,1.85,"제한없음 ~ 1,000만원",12개월 고정,"
개월별 기본금리
12개월기본 1.35%우대 시 1.85%
","1. 신한카드 가맹점 결제계좌를 신한은행으로 지정 후 매출액 입금할 경우 : 연0.500%우대 
",0,
108,234DEPOSIT,신한 MyShop 가맹점 적금 (자유적립식),shinhan,단리,자유적립,1.85,"제한없음 ~ 1,000만원",12개월 고정,"
개월별 기본금리
12개월기본 1.35%우대 시 1.85%
","1. 신한카드 가맹점 결제계좌를 신한은행으로 지정 후 매출액 입금할 경우 : 연0.500%우대 
",0,
109,235DEPOSIT,신한 새희망 적금(자유적립식),shinhan,단리,자유적립,4.5,제한없음 ~ 20만원,36개월 고정,"
개월별 기본금리
36개월기본 3%우대 시 4.5%
","""신한은행 유동성 계좌에서 이 적금으로 자동이체 등록하는 경우
우대 이자율 (연 1.500%) 를 만기해지 계좌에 한하여 계약기간 동안 제공함""
",1,5.0
110,236DEPOSIT,신한 S20 적금,shinhan,단리,자유적립,1.85,"제한없음 ~ 1,000만원",6개월 고정,"
개월별 기본금리
6개월기본 1.25%우대 시 1.85%
","""가산이율 (매 입금시마다 아래 우대요건 충족 여부에 따라 최대 연 0.6% 우대)

'마이홈플랜 주택청약종합저축' 가입한 이후 입금건별 연 0.3%
모바일뱅킹(VM/USIM/S-뱅크)가입 및 로그인 이후 입금건별 연0.2%
* 단, 신규 입금분에 대해서는 실적관계없이 우대함

친구등록 쿠폰번호 입력시 연 0.1%
* 입력일이 포함된 당해 계약기간 시작일로부터 최종 재예치 이후의 계약기간 만료일까지 전기간에 대하여 쿠폰발급/등록고객 2인 모두 우대하며, 쿠폰입력 건수와 관계없이 최대 연 0.1%P 가능

* S20클럽 고객인 경우 쿠폰등록 여부에 관계없이 (연 0.1%) 우대(2012.2.15 개정)

단, 본 적금 가입기간 중 S20클럽 선정 실적이 1회 이상인 경우 가능함""
",1,3.0
111,237DEPOSIT,신한 두근두근 커플적금,shinhan,단리,자유적립,2.1,제한없음 ~ 100만원,12개월 고정,"
개월별 기본금리
12개월기본 1.6%우대 시 2.1%
","""① 가입기간 중 젂용 스마트폰 어플리케이션인 ‘두근두근 커플샷’에서 '커플등록' 완료하면 연 0.1%P의 금리 가산
※ 커플등록은 어플리케이션의 ‘커플만들기’ 메뉴를 통해 커플싞청 후 발송된 문자메시지 인증번호를 상대방이 입력하면 완료됨. (단, 커플 두 명이 모두 어플리케이션을 다운로드하고 로그인하여야 함)
② ‘두근두근 커플샷’ 어플리케이션에서 활동지수인 ‘하트게이지’를 모두 채우면 연 0.2%P의 금리 가산
※ 하트게이지는 총 24개 칸으로 구성되며, 사진올리기(1개 등록하면 1칸 채움), 매월 퀴즈 참여(1회 정답일 경우 3칸 채움) 등을 통해 채울 수 있다.
③ 본 예금보유기간 중 ①항의 커플등록 한 상대방도 본 상품을 가입할 경우 커플 두 명 모두에게 연 0.2%P의 금리 가산
(단, 두 명 모두 상품 가입 후 1회 이상 어플리케이션 로그인 해야 함)""
",1,5.0
112,238DEPOSIT,신한 월복리 적금(자유적립식),shinhan,복리,자유적립,2.1,제한없음 ~ 100만원,36개월 고정,"
개월별 기본금리
36개월기본 1.55%우대 시 2.1%
","※가산금리 연 0.3%(매 입금시 1건이상 충족시)
-주택청약종합저축 가입시 
-신한카드결제계좌를 당행으로 지정시
-급여이체 실적, 공과금 이체 실적, 연금이체 실적으로 우대받은경우 중 1건이상",11,3.9
113,239DEPOSIT,신한 나라사랑 적금 (정기적립식),shinhan,단리,정기적립,3.1,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2%우대 시 3.1%24개월기본 2.3%우대 시 3.4%36개월기본 2.7%우대 시 3.8%
","""1. 군복무자 우대이자율
- 아래의 요건 중 1건 이상 충족시: 연0.6%P 우대
군인, 『병역명문가』선정자 및 가족, 중장기복무제대군인, 당행 나라사랑카드 소지자
2. 급여이체 실적 가산이율
본 상품 가입전 급여이체 실적이 있는 경우 : 연0.4%P
급여이체로 인식되는 경우는 당행 유동성 통장 거래메모란에 '육군중경단', '중앙경리단', '해군중경단', '공군본부'로 표시되어 있는 경우에 한함
3. 적립금액 가산이율
: 월저축금액이 10만원 이상시 : 연0.1%P""
",0,
114,23DEPOSIT,우리아가사랑 유후적금,woori,복리,자유적립,1.95,제한없음 ~ 100만원,12개월 고정,"
개월별 기본금리
12개월기본 1.75%우대 시 1.95%
","""1. 부모와 자녀 동시 가입 시 연 0.1%p
2. 우리 유후 통장에서 자동이체 등록 시 연 0.1%p
3. 직전 회전기간 동안 100만원 이상 납입 시 다음 회전기간 동안
 연 0.1%p
4. 인터넷 뱅킹 또는 스마트 뱅킹으로 가입 시 연 0.1%p""
",0,
115,240DEPOSIT,신한 나라사랑 적금 (자유적립식),shinhan,단리,자유적립,3.0,"제한없음 ~ 1,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.9%우대 시 3%24개월기본 2.2%우대 시 3.3%36개월기본 2.6%우대 시 3.7%
","""1. 군복무자 우대이자율
- 아래의 요건 중 1건 이상 충족시: 연0.6%P 우대
군인, 『병역명문가』선정자 및 가족, 중장기복무제대군인, 당행 나라사랑카드 소지자
2. 급여이체 실적 가산이율
본 상품 가입전 급여이체 실적이 있는 경우 : 연0.4%P
급여이체로 인식되는 경우는 당행 유동성 통장 거래메모란에 '육군중경단', '중앙경리단', '해군중경단', '공군본부'로 표시되어 있는 경우에 한함
3. 적립금액 가산이율
: 매회 저축금액이 10만원 이상시 : 적립건별 연0.1%P""
",0,
116,241DEPOSIT,트러스트 정기적금 (정액식),daishin_sb,단리,정기적립,3.0,10만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2.5%우대 시 3%24개월기본 3.5%우대 시 4%36개월기본 3.7%우대 시 4.2%
","이벤트 이율 적용시 +0.4%, 인터넷 12개월 정기예금 +0.1% 우대
",1,4.0
117,243DEPOSIT,정기적금,shinhan_sb,단리,정기적립,2.5,1만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2.2%우대 시 2.5%24개월기본 2.3%우대 시 2.6%36개월기본 2.4%우대 시 2.7%
",- 인터넷뱅킹 가입시 연 0.1% 우대,0,
118,244DEPOSIT,자유적립식적금,shinhan_sb,단리,자유적립,2.8,1만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.8%우대 시 2.8%24개월기본 1.8%우대 시 2.9%36개월기본 1.8%우대 시 2.9%
",- 인터넷뱅킹 가입시 연 0.1% 우대,0,
119,247DEPOSIT,정기적금 (정액적립),aju_sb,단리,정기적립,0.0,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 0%12개월기본 2.5%우대 시 2.9%24개월기본 2.5%우대 시 2.9%36개월기본 2.5%우대 시 2.9%
",- 1. 인터넷/스마트폰뱅킹 가입 시 연 0.1% 우대,0,
120,248DEPOSIT,정기적금 (자유적립),aju_sb,단리,자유적립,0.1,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 0.1%12개월기본 2.15%우대 시 0.1%24개월기본 2.05%우대 시 0.1%36개월기본 2.2%우대 시 0.1%
",- 1. 인터넷/스마트폰뱅킹 가입 시 연 0.1% 우대,0,
121,249DEPOSIT,아주플러스 정기적금,aju_sb,단리,자유적립,4.0,10만원 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2.5%우대 시 4%24개월기본 2.5%우대 시 4%36개월기본 2.5%우대 시 4%
","1, 2 중 택 1, 최대 1.5% 우대
1. 당행 방카슈랑스 보유 고객
- 방카슈랑스 가입후 2개월 이상 보유시 저금 가입기간 및 금액에 따라 최대 1.5%p 우대
2. 아주저축은행 -KB 카드 사용고객
- 신규발급 후 3개월 이내 30만원 이상 사용시
 적금 가입 기간 및 금액에 따라 최대 1.5%p 우대
",1,4.0
122,24DEPOSIT,우리예드림 상조적금,woori,단리,자유적립,1.95,10만원 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.65%우대 시 1.95%24개월기본 1.65%우대 시 1.95%36개월기본 1.65%우대 시 1.95%
","""1. 월 적립금 20만원 이상으로 자동이체 실적 보유고객 연 0.2%p
2. 우리은행 계좌로 급여이체 고객 연 0.1%p
3. 최초 신규일로부터 3년 경과 시부터 연 0.1%p""
",0,
123,250DEPOSIT,삼삼오오 함께 만든 적금,aju_sb,단리,자유적립,5.0,10만원 ~ 50만원,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 5%
","""1. 공동구매 우대금리(최대 0.5%p)
- 3명 이상 함께 가입 시 공대 시금리+0.3%p(2.9%, 연/세전)
- 5명 이상 함께 가입 시 공시금리+0.5%p(3.1%, 연/세전)
2. 추가 우대(택1, 최대 1.5%p)
- 당행 방카슈랑스 보유 고객 : 방카슈랑스 가입후 2개월 이상 
보유시 최대 1.5%p 우대
- 아주저축은행 -KB 카드 사용고객 : 신규발급 후 3개월 이내 30만원 이상 사용시 최대 1.5%p 우대""
",1,5.0
124,251DEPOSIT,아주 생명나눔 정기적금,aju_sb,단리,자유적립,1.6,1만원 ~ 제한없음,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 1.5%우대 시 1.6%12개월기본 2.5%우대 시 2.6%24개월기본 2.5%우대 시 2.6%
",최근 6개월 이내 헌혈증서 사본(제출),0,
125,252DEPOSIT,정기적금,yegaram_sb,단리,정기적립,2.55,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.55%12개월기본 2.6%우대 시 3.05%24개월기본 2.8%우대 시 3.25%36개월기본 3%우대 시 3.45%
","* 최고우대금리 : 0.2%
 - 인터넷뱅킹 가입시 : 0.1% 우대
 - 신용카드 신규가입시 : 0.20% 우대
 * 단위는 연%p",0,
126,253DEPOSIT,WELCOME 체크플러스 m-정기적금,welcome_sb,단리,정기적립,5.0,10만원 ~ 50만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 3.6%우대 시 5%24개월기본 3.8%우대 시 5.2%
","- 스마트뱅킹 전용 - 납입금액 : 10만원 이상 50만원 이하 - 체크카드 유지 필수 - 당행 체크카드 이용실적 10만원 이상 : 연 0.5% 
- 당행 체크카드 이용실적 30만원 이상 : 연 1.0%",3,4.3
127,254DEPOSIT,m-정기적금,welcome_sb,단리,정기적립,2.4,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 3%우대 시 3%24개월기본 3.2%우대 시 3.2%36개월기본 3.4%우대 시 3.4%
",- 스마트(모바일)뱅킹 전용상품,2,4.5
128,255DEPOSIT,WELCOME 체크플러스 e-정기적금,welcome_sb,단리,정기적립,4.8,10만원 ~ 50만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 3.4%우대 시 4.8%24개월기본 3.6%우대 시 5%
","- 인터넷뱅킹 전용
- 납입금액 : 10만원 이상 50만원 이하 
- 체크카드 유지 필수
- 당행 체크카드 이용실적 10만원 이상 : 연 0.5% - 당행 체크카드 이용실적 30만원 이상 : 연 1.0%",2,4.5
129,256DEPOSIT,e-정기적금,welcome_sb,단리,정기적립,2.4,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 2.8%우대 시 2.8%24개월기본 3%우대 시 3%36개월기본 3.2%우대 시 3.2%
",- 인터넷뱅킹 전용 상품,2,4.5
130,257DEPOSIT,WELCOME 디딤돌적금,welcome_sb,단리,정기적립,6.8,1만원 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 6.8%우대 시 6.8%
",,1,5.0
131,258DEPOSIT,WELCOME 체크플러스 정기적금,welcome_sb,단리,정기적립,4.6,10만원 ~ 50만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 3.2%우대 시 4.6%24개월기본 3.4%우대 시 4.8%
","- 납입금액 : 10만원 이상 50만원 이하 
- 체크카드 유지 필수 
- 당행 체크카드 이용실적 10만원 이상 : 연 0.5% 
- 당행 체크카드 이용실적 30만원 이상 : 연 1.0%",1,3.0
132,259DEPOSIT,자영업자 정기적금 (서울지점),choeun_sb,단리,자유적립,2.6,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.6%12개월기본 2.6%우대 시 2.8%24개월기본 2.8%우대 시 3%36개월기본 3%우대 시 3.2%
","""체크카드 가입 0.1% , 인터넷뱅킹가입 0.1%, 
당행 보통예금 통한 적금이체시 0.1%
(위 조건 중 1가지만 충족해도 우대금리 적용)""
",0,
133,25DEPOSIT,우리첫거래적금,woori,복리,자유적립,2.5,제한없음 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 1.8%우대 시 2.5%
","""우대이자율 조건(최대 연 0.2%p)
1. 우리은행 입출금이 자유로운 예금 계좌에 급여이체 3회 이상 입금 시 연 0.1%p
2. 우리은행 입출금이 자유로운 예금 계좌에서 아파트관리비 또는 공과금 자동 이체 실적 10회이상 보유 시 연 0.1%p
3. 우리은행 입출금이 자유로운 예금 계좌에서 체크카드 10회 이상 결제실적 보유 시 0.1%p
특별 우대이자율(0.5%p)
1. 우리은행을 처음 거래하시는 고객인 경우 만기해지 시 특별우대이자율 연 0.5%p 적용""
",0,
134,262DEPOSIT,직장인 정기적금 (서울지점),choeun_sb,단리,정기적립,2.6,1만원 ~ 제한없음,6개월 ~ 60개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.6%12개월기본 2.6%우대 시 2.8%24개월기본 2.8%우대 시 3%36개월기본 2.8%우대 시 3%48개월기본 3%우대 시 3.2%60개월기본 3%우대 시 3.2%
","""1. 체크카드 가입 0.1% 
2. 인터넷뱅킹가입 0.1%
3. 당행 보통예금 통한 적금이체시 0.1% 
(위 조건 중 1가지만 충족해도 우대금리 적용)""
",0,
135,263DEPOSIT,내리사랑 정기적금 (서울지점),choeun_sb,단리,자유적립,2.6,1만원 ~ 20만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.6%12개월기본 2.6%우대 시 2.8%24개월기본 2.8%우대 시 3%36개월기본 3%우대 시 3.2%
","""2자녀 이상 0.1%, 보통예금통장 개설 0.1%, 
당행 보통예금 통한 적금이체시 0.1%  
(위 조건 중 1가지만 충족해도 우대금리 적용)""
",0,
136,264DEPOSIT,부모사랑 정기적금 (서울지점),choeun_sb,단리,자유적립,2.6,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.6%12개월기본 2.6%우대 시 2.8%24개월기본 2.8%우대 시 3%36개월기본 3%우대 시 3.2%
","""체크카드 가입 0.1%, 인터넷뱅킹 가입 0.1%, 
당행 보통예금 통한 적금이체시 0.1%
(위 조건 중 1가지만 충족해도 우대금리 적용)""
",1,3.0
137,265DEPOSIT,정기적금,hana_sb,단리,정기적립,2.55,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2%우대 시 2.55%12개월기본 2.3%우대 시 2.85%24개월기본 2.4%우대 시 2.95%36개월기본 2.5%우대 시 3.05%
","* 최고 우대금리 : 0.05%
 - 인터넷/스마트뱅킹적금가입 : 0.05%
 ※ 단위는 연%p",0,
138,266DEPOSIT,정기적금,ki_sb,단리,정기적립,2.4,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 2.4%12개월기본 2.2%우대 시 2.7%24개월기본 2.3%우대 시 2.8%36개월기본 2.3%우대 시 2.9%
",- 없음,0,
139,267DEPOSIT,정기적금,hanshin_sb,단리,자유적립,2.5,제한없음 ~ 제한없음,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.5%12개월기본 2.7%우대 시 2.8%24개월기본 2.8%우대 시 2.9%
","""인터넷뱅킹 e-정기적금 신규는 +0.1%p 우대혜택을 드립니다.
(계약기간은 36개월까지만 가능)""
",0,
140,269DEPOSIT,정기적금,hyundai_sb,단리,정기적립,0.0,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.5%우대 시 2.8%12개월기본 2.7%우대 시 3%24개월기본 2.8%우대 시 3.1%36개월기본 2.8%우대 시 0%
","- 최고우대금리: 연 0.1%
 - 인터넷뱅킹, 스마트뱅킹 가입시 연 0.1% 우대 (12개월 이상)",0,
141,26DEPOSIT,우리미소드림적금,woori,단리,자유적립,3.6,1만원 ~ 10만원,12개월 ~ 60개월,"
개월별 기본금리
12개월기본 3.6%우대 시 3.6%24개월기본 3.8%우대 시 3.8%36개월기본 4%우대 시 4%48개월기본 4%우대 시 4%60개월기본 4%우대 시 4%
",,0,
142,270DEPOSIT,정기적금,bnk_sb,단리,정기적립,2.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.2%우대 시 2.6%12개월기본 2.2%우대 시 2.8%24개월기본 2.3%우대 시 2.9%36개월기본 2.4%우대 시 3%
",- 인터넷 가입시 연 0.1% 우대,0,
143,271DEPOSIT,6-UP정기적금,hk_sb,단리,정기적립,1.35,1만원 ~ 제한없음,24개월 ~ 36개월,"
개월별 기본금리
24개월기본 1.3%우대 시 1.35%36개월기본 1.3%우대 시 1.35%
","""인터넷신규가입 가능
 : 우대금리(0.05%)를 드립니다.""
",0,
144,272DEPOSIT,정기적금(일 단위),hk_sb,단리,정기적립,0.0,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.6%우대 시 0%12개월기본 2%우대 시 0%24개월기본 2.3%우대 시 0%36개월기본 2.4%우대 시 0%
","- 인터넷뱅킹 가입: 연 0.05%
 - 폰뱅킹 가입: 연 0.05%",0,
145,273DEPOSIT,정기적금(월 단위),hk_sb,단리,정기적립,1.85,1만원 ~ 제한없음,6개월 ~ 60개월,"
개월별 기본금리
6개월기본 1.8%우대 시 1.85%12개월기본 2.2%우대 시 2.25%24개월기본 2.4%우대 시 2.45%36개월기본 2.6%우대 시 2.65%48개월기본 2.6%우대 시 2.65%60개월기본 2.6%우대 시 2.65%
","""인터넷신규가입 가능
 : 우대금리(0.05%)를 드립니다.""
",0,
146,274DEPOSIT,자유적립예금,hk_sb,복리,자유적립,1.35,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.35%12개월기본 1.8%우대 시 1.85%24개월기본 2%우대 시 2.05%36개월기본 2.1%우대 시 2.15%
","인터넷신규가입 가능 : 우대금리(0.05%)를 드립니다.
",0,
147,275DEPOSIT,KB착한정기적금,kb_sb,단리,정기적립,2.7,1만원 ~ 500만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2.6%우대 시 2.7%24개월기본 2.7%우대 시 2.8%36개월기본 2.8%우대 시 2.9%
","1. 인터넷으로 가입 시 우대금리 연0.1% 적용 
2. 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 KB착한정기적금 창구 신규시 우대금리 연 0.1% 적용 
단, 신규가입일 포함 14일 이내 타기관 공인인증서 미 등록시 우대금리 적용해지
",1,4.0
148,277DEPOSIT,정기적금,nh_sb,단리,자유적립,1.9,제한없음 ~ 제한없음,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 1.9%우대 시 1.9%12개월기본 2%우대 시 2%24개월기본 2%우대 시 2.2%
",- 인터넷 정기적금 가입: 연 0.1%,0,
149,278DEPOSIT,스파이크 정기적금II,ok_sb,단리,자유적립,100.0,1만원 ~ 50만원,100개월 ~ 0개월,"
개월별 기본금리

","""[우대금리] (세전, 연이율)
   1. 리그경기 승수에 따른 우대금리 제공 : 1승시 0.03%(최대 1.08%)
   2. 2015-2016 V리그 우승시 : 0.5% 
   3. 2015-2016 V리그 챔피언전 우승시 : 1.0%""
",5,3.2
150,279DEPOSIT,OK VIP 정기적금,ok_sb,단리,정기적립,5.3,1만원 ~ 19만원,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 5.3%
","""방카슈랑스 가입 시 우대금리 제공
- 1만원이상~20만원미만 : 2.4%
- 20만원이상~30만원미만 : 1.5%
- 30만원이상~50만원미만 : 0.9%""
",1,4.0
151,27DEPOSIT,어린이 적금,woori,단리,자유적립,5.5,제한없음 ~ 10만원,12개월 고정,"
개월별 기본금리
12개월기본 2%우대 시 5.5%
","""- 특정월에만 해당(5, 12월)
- 동시에 신규 시점에 아래 항목 중 1가지 이상 충족 시 적용
1. 이 예금으로 자동이체 등록
2. 우리은행에서 가입한 주택청약종합저축 보유
3. 부모 명의의 「좋은엄마아빠적금」 보유 ""
",1,3.0
152,280DEPOSIT,e-정기적금,ok_sb,단리,정기적립,2.6,1만원 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 2.6%
","인터넷으로 적금가입시 정기적금에 0.1% 우대금리
",0,
153,281DEPOSIT,OK끼리끼리정기적금,ok_sb,단리,정기적립,3.4,10만원 ~ 100만원,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 3.4%
",""" 함께하면 우대금리를 제공
 - 2인 0.2% 
 - 3~4인 0.3%
 - 5인이상 0.5%
",2,3.5
154,282DEPOSIT,SNS다함께정기적금,sbi_sb,단리,정기적립,2.6,10만원 ~ 50만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.6%12개월기본 2.4%우대 시 2.9%24개월기본 2.5%우대 시 3%36개월기본 2.5%우대 시 3%
","당행 공식 SNS계정의 컨텐츠(상품소개 및 이벤트)를 
 공유하면 0.3%의 우대금리를 적용",1,5.0
155,283DEPOSIT,PB우대정기적금,sbi_sb,단리,정기적립,4.1,10만원 ~ 100만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 4.1%12개월기본 2.4%우대 시 4.4%24개월기본 2.5%우대 시 4.5%36개월기본 2.5%우대 시 4.5%
","""당행 방카슈랑스 가입고객 대상 우대금리 적용 상품
[2016.07.15부터 신규가입한 계좌]
정기적금 월불입금액 우대이율 한도
10만원 이하 2.0%p 이내
10만원 초과 ~ 20만원 이하 1.5%p 이내 
20만원 초과 ~ 40만원 이하 1.0%p 이내 
40만원 초과 ~ 60만원 이하 0.7%p 이내 
60만원 초과 ~ 100만원 이하 0.4%p 이내 

[2016.07.14까지 신규가입한 계좌]
정기적금 월불입금액 우대이율 한도
10만원 이상 ~ 50만원 미만 1.0%p 이내 
50만원 이상 ~ 60만원 미만 0.9%p 이내 
60만원 이상 ~ 70만원 미만 0.7%p 이내 
70만원 이상 ~ 80만원 미만 0.6%p 이내 
80만원 이상 ~ 100만원 미만 0.5%p 이내 
100만원 0.4%p 이내
",1,3.0
156,284DEPOSIT,직장인정기적금,sbi_sb,단리,정기적립,2.4,10만원 ~ 100만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.4%12개월기본 2.4%우대 시 2.7%24개월기본 2.5%우대 시 2.8%36개월기본 2.5%우대 시 2.8%
","기본우대금리 0.2% + 아래 조건 중 1가지만 충족하여도 0.1% 추가 우대

1) 회사에 입사한지 6개월 미만인 신입사원 
(*신입사원의 기준:만 35세 미만, 재직증명서상 회사 입사일이 6개월 이내인 경우) 

2) 당행 보통예금에 급여이체 실적이 있는 경우(급여이체로 자동인식 되는 경우) 
- 당행 급여이체 : 급여대체로 입금 된 경우 
- """"적요""""란에 급여, 상여금, 월급, 봉급 등으로 표시된 경우 
- 가입기간의 1/2이상 건별 50만원 이상의 급여이체 실적이 있는 경우 
***해약시점에 급여이체 요건 충족시 추가우대금리 자동 적용***""
",1,5.0
157,285DEPOSIT,사랑나눔정기적금,sbi_sb,단리,정기적립,2.2,50만원 ~ 500만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.2%12개월기본 2.4%우대 시 2.5%24개월기본 2.5%우대 시 2.6%36개월기본 2.5%우대 시 2.6%
","가입시점으로 부터 12개월 이내 헌혈한 헌혈증서 소지자 우대금리 제공
",1,4.0
158,286DEPOSIT,별둘별셋정기적금,sbi_sb,단리,자유적립,2.3,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.3%12개월기본 2.4%우대 시 2.6%24개월기본 2.5%우대 시 2.7%36개월기본 2.5%우대 시 2.7%
","""저축기간 내에 출산하고 만기 해약 시 
- 자녀수가 둘일 경우 : 일반정기적금 이율+0.1% 
- 자녀수가 셋일 경우 : 일반정기적금 이율+0.2%""
",0,
159,287DEPOSIT,따뜻한세상정기적금,sbi_sb,단리,정기적립,2.2,1만원 ~ 100만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.2%12개월기본 2.4%우대 시 2.5%24개월기본 2.5%우대 시 2.6%36개월기본 2.5%우대 시 2.6%
","가입시점으로부터 12개월 이내 사회복지시설 및 기관 등에서 자원봉사활동(무급)을 하고, 사회봉사활동 확인서를 발급받은 자로서 봉사활동 시간이 총 5시간 이상인 고객대상 우대금리 적용
",0,
160,288DEPOSIT,e-온라인정기적금,sbi_sb,단리,정기적립,2.4,1만원 ~ 100만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.2%우대 시 2.4%12개월기본 2.5%우대 시 2.7%24개월기본 2.6%우대 시 2.8%36개월기본 2.6%우대 시 2.8%
","온라인 예약 시 0.2%p 우대금리를 지급해드리는 정기적금 상품 
- 인터넷뱅킹 신규고객은 온라인 예약 필수 
- 기존 인터넷뱅킹 고객은 온라인 예약없이 신규 가능
",1,5.0
161,289DEPOSIT,e-체크UP정기적금,sbi_sb,단리,정기적립,3.3,10만원 ~ 100만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.2%우대 시 3.3%12개월기본 2.5%우대 시 3.6%24개월기본 2.6%우대 시 3.7%36개월기본 2.6%우대 시 3.7%
","기본우대이율(0.1%) + 체크카드 월 이용실적에 따라 추가이율 적용(0.0%~1.0%) 

[체크카드 월평균 이용실적 우대금리] 
10만원 이상 0.1%p 
20만원 이상 0.2%p 
30만원 이상 0.3%p 
50만원 이상 0.5%p 
70만원 이상 0.7%p 
100만원 이상 1.0%p ""
",1,4.0
